tweet_id,favorite_count,retweet_count
863553081350529029,13634,3612
863471782782697472,0,2085
863432100342583297,21227,4544
863427515083354112,1956,80
863079547188785154,7878,949
863062471531167744,7501,2085
862831371563274240,17181,4445
862722525377298433,15290,3075
862457590147678208,18221,4231
862096992088072192,66069,19910
861383897657036800,32193,9228
861288531465048066,15307,3575
861005113778896900,14943,3319
860981674716409858,0,1850
860924035999428608,0,675
860563773140209665,6701,1850
860524505164394496,21199,4582
860276583193509888,16529,3057
860184849394610176,14965,5104
860177593139703809,0,26616
859924526012018688,17576,3573
859851578198683649,13948,3058
859607811541651456,16792,1360
859196978902773760,80302,26176
859074603037188101,30339,11920
858860390427611136,0,7050
858843525470990336,14086,3018
858471635011153920,19420,4241
858107933456039936,14192,2532
857989990357356544,14453,2259
857746408056729600,30715,9313
857393404942143489,5293,1437
857263160327368704,18207,3960
857214891891077121,203,16
857062103051644929,0,146
857029823797047296,17005,3472
856543823941562368,14792,2534
856526610513747968,10794,1651
856288084350160898,489,15
856282028240666624,25168,5564
855862651834028034,303,21
855860136149123072,4396,849
855857698524602368,10834,1853
855851453814013952,41814,16077
855818117272018944,24223,4798
855459453768019968,27030,7285
855245323840757760,0,5246
855138241867124737,0,36
854732716440526848,20626,5327
854482394044301312,26503,6000
854365224396361728,17156,4133
854120357044912130,29153,6572
854010172552949760,14800,2784
853760880890318849,26015,5104
853639147608842240,31460,8838
853299958564483072,14131,3160
852936405516943360,0,1782
852912242202992640,8229,1591
852672615818899456,13614,1904
852553447878664193,14856,3100
852311364735569921,30279,8841
852226086759018497,18307,6071
852189679701164033,10554,1415
851591660324737024,14923,3118
851464819735769094,22221,6290
851224888060895234,18991,5158
850753642995093505,28071,8054
850380195714523136,12047,2325
850333567704068097,3183,301
850145622816686080,15013,3385
850019790995546112,18739,4355
849776966551130114,27859,6797
849668094696017920,0,4432
849412302885593088,14648,2822
849336543269576704,10534,1684
849051919805034497,38924,7603
848690551926992896,23226,3913
848324959059550208,22780,4142
848213670039564288,7530,644
848212111729840128,15005,2711
847978865427394560,0,2913
847971574464610304,0,394
847962785489326080,21693,4559
847842811428974592,5002,1186
847617282490613760,6456,376
847606175596138505,17320,3075
847251039262605312,18928,3907
847157206088847362,18332,5242
847116187444137987,19835,2869
846874817362120707,18585,3541
846514051647705089,41088,10347
846505985330044928,13039,2752
846153765933735936,29034,8148
846139713627017216,28745,9143
846042936437604353,14779,2581
845812042753855489,26961,7842
845677943972139009,23388,4371
845397057150107648,7075,1616
845306882940190720,21570,4845
845098359547420673,0,6925
844979544864018432,12650,2306
844973813909606400,13906,2840
844580511645339650,15267,2807
844223788422217728,12673,1986
843981021012017153,14077,2697
843856843873095681,19916,4162
843604394117681152,15665,2475
843235543001513987,19928,5386
842846295480000512,14191,3310
842765311967449089,6282,1175
842535590457499648,16878,3166
842163532590374912,22683,5246
842115215311396866,13006,2754
841833993020538882,0,13528
841680585030541313,23998,7141
841439858740625411,11702,3307
841320156043304961,18385,5011
841314665196081154,14714,4225
841077006473256960,21299,4879
840761248237133825,0,1619
840728873075638272,0,14563
840698636975636481,163,2
840696689258311684,11454,889
840632337062862849,8413,1619
840370681858686976,15312,4171
840268004936019968,17857,5204
839990271299457024,12508,2063
839549326359670784,25520,7050
839290600511926273,0,132
839239871831150596,25180,5919
838952994649550848,18334,3655
838921590096166913,10400,1852
838916489579200512,0,31
838831947270979586,0,9998
838561493054533637,10229,1229
838476387338051585,20930,4334
